ID,Language,Category,Food,ImageFileName,Description,Price,Restrictions,Ingredient
10,EN,Pasta,Bolognese Meat Sauce Pasta,bolognese_meat_sauce_pasta.jpg,A pasta with hearty tomato meat sauce loaded with ground beef,17000,Beef,"Ground Beef, Tomato Sauce, Parmigiano Cheese, Basil"
11,EN,Pasta,Amatriciana Pasta,amatriciana_pasta.jpg,A pasta with savory bacon and spicy chili tomato sauce,18900,Dairy,"Bacon, Chili, Tomato Sauce, Parmigiano Cheese"
12,EN,Pasta,Shrimp Chili Pasta,shrimp_chili_pasta.jpg,A shrimp chili pasta with flavorful shrimp and spicy chili tomato sauce,19900,"Seafood, Dairy","Shrimp, Chili, Tomato Sauce"
13,EN,Pasta,Spaghetti Marinara Pasta,spaghetti_marinara.jpg,"A spaghetti marinara with rich seafood like shrimp, mussels, clams, and surf clams in tomato sauce",19900,"Seafood, Dairy","Shrimp, Mussels, Clams, Surf Clams, Tomato Sauce"
14,EN,Risotto,Mare Pomodoro Risotto,mare_pomodoro_risotto.jpg,An Italian-style fried rice with various seafood and tomato sauce,18900,"Seafood, Dairy","Shrimp, Mussels, Clams, Tomato Sauce"
15,EN,Risotto,Crema di Mare Risotto,crema_di_mare_risotto.jpg,"A creamy risotto with abundant seafood like shrimp, mussels, and clams",19900,"Seafood, Dairy","Shrimp, Mussels, Clams, Cream Sauce"
16,EN,Risotto,Mushroom Truffle Cream Risotto,mushroom_truffle_cream_risotto.jpg,A risotto with a rich cream sauce infused with the flavors of king oyster mushrooms and truffle,21900,Dairy,"King Oyster Mushroom, Truffle, Cream Sauce"
17,EN,Pasta,Carbonara Pasta,carbonara_pasta.jpg,"A creamy pasta made with Parmigiano Reggiano cheese, mushrooms, and bacon",17900,Dairy,"Parmigiano Reggiano Cheese, Bacon, Mushrooms"
18,EN,Pasta,Shrimp Cream Pasta,shrimp_cream_pasta.jpg,A mild and rich shrimp cream pasta filled with the aroma of shrimp,19900,"Seafood, Dairy","Shrimp, Cream Sauce"
19,EN,Pasta,Seafood Chili Cream Pasta,seafood_chili_cream_pasta.jpg,"A pasta with spicy chili cream sauce, combined with seafood like shrimp, mussels, and clams",19900,"Seafood, Dairy","Shrimp, Mussels, Clams, Chili, Cream Sauce"
20,EN,Pasta,Pane Pasta,pane_pasta.jpg,"A creamy spaghetti filled with the flavors of king oyster mushrooms and ntire mushrooms, served inside bread",22900,Dairy,"King Oyster Mushroom, Ntire Mushrooms, Cream Sauce"
21,EN,Pasta,Sirloin Cream Pasta,sirloin_steak_cream_pasta.jpg,A creamy cheese pasta served with grilled sirloin,26000,"Beef, Dairy","Hanwoo Sirloin, Cream Sauce, Cheese"
22,EN,Pasta,Vongole e Rucola Pasta,vongole_rucola_pasta.jpg,"A fragrant olive oil pasta with garlic, chili, clams, surf clams, and wine, served with arugula",16900,Seafood,"Clams, Surf Clams, Arugula"
23,EN,Pasta,Aglio Olio e Gamberetti Pasta,aglio_olio_gamberetti.jpg,"A light pasta sautéed in olive oil with garlic, chili, eggplant, tomatoes, zucchini, and shrimp",19900,"Seafood, Dairy","Shrimp, Garlic, Eggplant, Tomato, Zucchini"
24,EN,Salad,Caprese,caprese_salad.jpg,"An Italian appetizer with fresh mozzarella, basil, tomatoes, olive oil, and arugula",14900,Dairy,"Mozzarella Cheese, Basil, Tomatoes, Arugula"
25,EN,Salad,Spagnew Chopped Salad,cept_salad.jpg,"A popular Spagnew salad with Camembert cheese, potatoes, tomatoes, bacon, and mixed vegetables",14900,"Dairy, Beef","Camembert Cheese, Potatoes, Tomatoes, Bacon"
26,EN,Salad,Sirloin Steak Salad,sirloin_steak_salad.jpg,A balsamic salad with tender grilled sirloin and fresh vegetables,21900,Beef,"Hanwoo Sirloin, Fresh Vegetables, Balsamic Sauce"
1,YUE,披薩,瑪格麗塔,margherita_pizza.jpg,用番茄醬同羅勒做嘅經典意大利披薩,19900,"貝類, 乳製品","帶子, 牛油"
2,YUE,披薩,鮮火箭菜披薩,fresh_rucola_pizza.jpg,薄薄嘅餅底，加上番茄醬、煙肉同芝士焗製而成嘅香脆披薩,21900,"貝類, 乳製品","鮑魚, 牛油"
3,YUE,披薩,意大利辣肉腸披薩,pepperoni_pizza.jpg,用意大利辣椒同辣肉腸做嘅辣味披薩,21900,牛肉,韓牛西冷
4,YUE,披薩,意大利芝士披薩,italian_formaggio_pizza.jpg,用咸美頓芝士、艾曼塔芝士、帕爾瑪芝士、同埋水牛芝士做嘅芳香披薩,20900,乳製品,"水牛芝士, 帕爾瑪芝士, 艾曼塔芝士, 咸美頓芝士"
5,YUE,披薩,藍芝士番茄披薩,gorgonzola_pomodoro_pizza.jpg,用藍芝士同車厘茄做嘅鹹甜披薩,21900,乳製品,"藍芝士, 車厘茄, 蜂蜜"
6,YUE,披薩,沙律披薩,salad_pizza.jpg,焗製好嘅芝士同菜，然後再加上醬汁、菜、番茄同粟米做成嘅特別披薩,21900,乳製品,"芝士, 雜菜, 番茄, 粟米"
7,YUE,披薩,甜薯披薩,sweet_potato_pizza.jpg,甜薯蓉同芝士加上煙肉焗製而成嘅甜味披薩,21900,乳製品,"甜薯蓉, 煙肉, 車打芝士"
8,YUE,牛扒,西冷牛扒,sirloin_steak.jpg,烤爐烤製嘅香味西冷牛扒，配焗薯角、烤蘑菇同新鮮火箭菜,39900,牛肉,"韓牛西冷, 薯角, 烤蘑菇, 火箭菜"
9,YUE,意粉,番茄蓉意粉,spagnew_pomodoro.jpg,用番茄醬、水牛芝士同羅勒製作嘅清新意粉,15000,乳製品,"水牛芝士, 番茄醬, 羅勒"
10,YUE,意粉,肉醬意粉,bolognese_meat_sauce_pasta.jpg,加入大量牛絞肉同番茄肉醬嘅意粉,17000,牛肉,"牛絞肉, 番茄醬, 帕爾瑪芝士, 羅勒"
11,YUE,意粉,辣茄意粉,amatriciana_pasta.jpg,用煙肉同辣椒製作嘅辣茄意粉,18900,乳製品,"煙肉, 辣椒, 番茄醬, 帕爾瑪芝士"
12,YUE,意粉,辣蝦意粉,shrimp_chili_pasta.jpg,用鮮蝦同辣茄醬製作嘅辣蝦意粉,19900,"海鮮, 乳製品","蝦, 辣椒, 番茄醬"
13,YUE,意粉,海鮮茄汁意粉,spaghetti_marinara.jpg,以鮮蝦、青口、蜆同車螺為主材料嘅茄汁意粉,19900,"海鮮, 乳製品","蝦, 青口, 蜆, 車螺, 番茄醬"
14,YUE,燴飯,番茄海鮮燴飯,mare_pomodoro_risotto.jpg,以各式海鮮、番茄醬同飯製作嘅意式炒飯,18900,"海鮮, 乳製品","蝦, 青口, 蜆, 番茄醬"
15,YUE,燴飯,海鮮忌廉燴飯,crema_di_mare_risotto.jpg,以鮮蝦、青口、蜆等海鮮製作嘅濃郁忌廉燴飯,19900,"海鮮, 乳製品","蝦, 青口, 蜆, 忌廉醬"
16,YUE,燴飯,蘑菇松露忌廉燴飯,mushroom_truffle_cream_risotto.jpg,用鮮味十足嘅鮑魚菇同松露製作嘅忌廉燴飯,21900,乳製品,"鮑魚菇, 松露, 忌廉醬"
17,YUE,意粉,卡邦尼意粉,carbonara_pasta.jpg,用帕爾瑪芝士、蘑菇同煙肉製作嘅忌廉意粉,17900,乳製品,"帕爾瑪芝士, 煙肉, 蘑菇"
18,YUE,意粉,忌廉蝦意粉,shrimp_cream_pasta.jpg,充滿濃郁蝦味同忌廉嘅忌廉蝦意粉,19900,"海鮮, 乳製品","蝦, 忌廉醬"
19,YUE,意粉,海鮮辣椒忌廉意粉,seafood_chili_cream_pasta.jpg,用鮮蝦、青口、蜆等海鮮製作嘅辣味忌廉意粉,19900,"海鮮, 乳製品","蝦, 青口, 蜆, 辣椒, 忌廉醬"
20,YUE,意粉,焗麵包忌廉意粉,pane_pasta.jpg,用鮑魚菇同諾丁漢蘑菇製作嘅香濃忌廉意粉，焗入麵包中,22900,乳製品,"鮑魚菇, 諾丁漢蘑菇, 忌廉醬"
21,YUE,意粉,西冷忌廉意粉,sirloin_steak_cream_pasta.jpg,配上烤製西冷牛扒嘅香濃芝士忌廉意粉,26000,"牛肉, 乳製品","韓牛西冷, 忌廉醬, 芝士"
22,YUE,意粉,蚬肉火箭菜意粉,vongole_rucola_pasta.jpg,用蒜、辣椒、蜆同車螺，加入白酒同火箭菜做嘅香味十足橄欖油意粉,16900,海鮮,"蜆, 車螺, 火箭菜"
23,YUE,意粉,蒜香蝦仁意粉,aglio_olio_gamberetti.jpg,用蒜、辣椒、茄子、番茄、節瓜同蝦仁炒製而成嘅清淡橄欖油意粉,19900,"海鮮, 乳製品","蝦仁, 蒜, 茄子, 番茄, 節瓜"
24,YUE,沙律,水牛芝士沙律,caprese_salad.jpg,用新鮮水牛芝士、羅勒、番茄、橄欖油同火箭菜製作嘅意式開胃菜,14900,乳製品,"水牛芝士, 羅勒, 番茄, 火箭菜"
25,YUE,沙律,沙律碟沙律,cept_salad.jpg,用咸美頓芝士、薯仔、番茄、煙肉同雜菜製作嘅沙律,14900,"乳製品, 牛肉","咸美頓芝士, 薯仔, 番茄, 煙肉"
26,YUE,沙律,西冷牛扒沙律,sirloin_steak_salad.jpg,配上烤製柔嫩嘅西冷牛扒同新鮮菜嘅香醋沙律,21900,牛肉,"韓牛西冷, 新鮮菜, 香醋"
1,CN,披萨,玛格丽塔,margherita_pizza.jpg,用番茄酱和罗勒调制的经典意大利披萨,19900,"贝类, 乳制品","扇贝, 黄油"
2,CN,披萨,鲜火箭菜披萨,fresh_rucola_pizza.jpg,薄饼底，加上番茄酱、培根和芝士烘焙而成的香脆披萨,21900,"贝类, 乳制品","鲍鱼, 黄油"
3,CN,披萨,意大利辣香肠披萨,pepperoni_pizza.jpg,用意大利辣椒和辣香肠调制的辛辣披萨,21900,牛肉,韩牛西冷
4,CN,披萨,意大利芝士披萨,italian_formaggio_pizza.jpg,用卡门贝尔芝士、艾曼塔芝士、帕尔马芝士和莫扎里拉芝士调制的芳香披萨,20900,乳制品,"莫扎里拉芝士, 帕尔马芝士, 艾曼塔芝士, 卡门贝尔芝士"
5,CN,披萨,蓝芝士番茄披萨,gorgonzola_pomodoro_pizza.jpg,用蓝芝士和小番茄调制的咸甜披萨,21900,乳制品,"蓝芝士, 小番茄, 蜂蜜"
6,CN,披萨,沙拉披萨,salad_pizza.jpg,烘焙后的芝士和蔬菜，再加上酱汁、蔬菜、番茄和玉米制成的特别披萨,21900,乳制品,"芝士, 混合蔬菜, 番茄, 玉米"
7,CN,披萨,甜薯披萨,sweet_potato_pizza.jpg,甜薯泥和芝士，加上培根烘焙而成的甜味披萨,21900,乳制品,"甜薯泥, 培根, 切达芝士"
8,CN,牛排,西冷牛排,sirloin_steak.jpg,烤炉烤制的香味西冷牛排，配烤薯角、烤蘑菇和新鲜火箭菜,39900,牛肉,"韩牛西冷, 薯角, 烤蘑菇, 火箭菜"
9,CN,意面,番茄蓉意面,spagnew_pomodoro.jpg,用番茄酱、莫扎里拉芝士和罗勒制成的清新意面,15000,乳制品,"莫扎里拉芝士, 番茄酱, 罗勒"
10,CN,意面,肉酱意面,bolognese_meat_sauce_pasta.jpg,加入大量牛肉末和番茄肉酱的意面,17000,牛肉,"牛肉末, 番茄酱, 帕尔马芝士, 罗勒"
11,CN,意面,阿玛特里齐亚纳意面,amatriciana_pasta.jpg,用培根和辣椒调制的辣味番茄意面,18900,乳制品,"培根, 辣椒, 番茄酱, 帕尔马芝士"
12,CN,意面,辣虾意面,shrimp_chili_pasta.jpg,用鲜虾和辣味番茄酱调制的辣味虾意面,19900,"海鲜, 乳制品","虾, 辣椒, 番茄酱"
13,CN,意面,海鲜番茄意面,spaghetti_marinara.jpg,以鲜虾、青口贝、蛤蜊和蛏子为主要食材的番茄意面,19900,"海鲜, 乳制品","虾, 青口贝, 蛤蜊, 蛏子, 番茄酱"
14,CN,烩饭,番茄海鲜烩饭,mare_pomodoro_risotto.jpg,各式海鲜与番茄酱炒制的意式炒饭,18900,"海鲜, 乳制品","虾, 青口贝, 蛤蜊, 番茄酱"
15,CN,烩饭,海鲜奶油烩饭,crema_di_mare_risotto.jpg,用鲜虾、青口贝、蛤蜊等丰富海鲜调制的奶油烩饭,19900,"海鲜, 乳制品","虾, 青口贝, 蛤蜊, 奶油酱"
16,CN,烩饭,蘑菇松露奶油烩饭,mushroom_truffle_cream_risotto.jpg,用杏鲍菇和松露调制的奶油烩饭,21900,乳制品,"杏鲍菇, 松露, 奶油酱"
17,CN,意面,卡邦尼意面,carbonara_pasta.jpg,用帕尔马芝士、蘑菇和培根调制的奶油意面,17900,乳制品,"帕尔马芝士, 培根, 蘑菇"
18,CN,意面,奶油虾意面,shrimp_cream_pasta.jpg,充满浓郁虾香和奶油的奶油虾意面,19900,"海鲜, 乳制品","虾, 奶油酱"
19,CN,意面,海鲜辣椒奶油意面,seafood_chili_cream_pasta.jpg,用鲜虾、青口贝、蛤蜊等丰富海鲜调制的辣味奶油意面,19900,"海鲜, 乳制品","虾, 青口贝, 蛤蜊, 辣椒, 奶油酱"
20,CN,意面,焗面包奶油意面,pane_pasta.jpg,用杏鲍菇和蘑菇调制的香浓奶油意面，焗入面包中,22900,乳制品,"杏鲍菇, 蘑菇, 奶油酱"
21,CN,意面,西冷奶油意面,sirloin_steak_cream_pasta.jpg,配上烤制西冷牛排的香浓芝士奶油意面,26000,"牛肉, 乳制品","韩牛西冷, 奶油酱, 芝士"
22,CN,意面,蚬肉火箭菜意面,vongole_rucola_pasta.jpg,用蒜、辣椒、蛤蜊、蛏子、白葡萄酒和火箭菜调制的香味浓郁橄榄油意面,16900,海鲜,"蛤蜊, 蛏子, 火箭菜"
23,CN,意面,蒜香虾仁意面,aglio_olio_gamberetti.jpg,用蒜、辣椒、茄子、番茄、西葫芦炒制而成的清淡橄榄油意面,19900,"海鲜, 乳制品","虾仁, 蒜, 茄子, 番茄, 西葫芦"
24,CN,沙拉,意式水牛芝士沙拉,caprese_salad.jpg,用新鲜水牛芝士、罗勒、番茄、橄榄油和火箭菜调制的意式开胃菜,14900,乳制品,"水牛芝士, 罗勒, 番茄, 火箭菜"
25,CN,沙拉,沙拉碟沙拉,cept_salad.jpg,用卡门贝尔芝士、土豆、番茄、培根和混合蔬菜调制的沙拉,14900,"乳制品, 牛肉","卡门贝尔芝士, 土豆, 番茄, 培根"
26,CN,沙拉,西冷牛排沙拉,sirloin_steak_salad.jpg,配上烤制柔嫩西冷牛排和新鲜蔬菜的意大利香醋沙拉,21900,牛肉,"韩牛西冷, 新鲜蔬菜, 意大利香醋"
러스틱하트